Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:32:21 (+0000),42.375,49.925
2018/06/20-20:32:22 (+0000),42.375,49.925
2018/06/20-20:32:22 (+0000),42.312,49.388
2018/06/20-20:32:23 (+0000),42.312,49.388
2018/06/20-20:32:24 (+0000),42.312,49.388
2018/06/20-20:32:25 (+0000),42.312,49.388
2018/06/20-20:32:26 (+0000),42.312,49.388
2018/06/20-20:32:27 (+0000),42.312,49.388
2018/06/20-20:32:28 (+0000),42.25,49.388
2018/06/20-20:32:29 (+0000),42.25,49.388
2018/06/20-20:32:29 (+0000),42.25,49.925
2018/06/20-20:32:30 (+0000),42.25,49.388
2018/06/20-20:32:31 (+0000),42.312,49.925
2018/06/20-20:32:32 (+0000),42.312,49.388
2018/06/20-20:32:33 (+0000),42.312,49.388
2018/06/20-20:32:34 (+0000),42.312,49.388
2018/06/20-20:32:35 (+0000),42.312,49.388
2018/06/20-20:32:36 (+0000),42.312,49.388
2018/06/20-20:32:37 (+0000),42.312,49.388
2018/06/20-20:32:37 (+0000),42.375,49.388
2018/06/20-20:32:38 (+0000),42.375,49.388
2018/06/20-20:32:39 (+0000),42.375,49.388
2018/06/20-20:32:40 (+0000),42.375,49.388
2018/06/20-20:32:41 (+0000),42.375,49.388
2018/06/20-20:32:42 (+0000),42.375,49.388
2018/06/20-20:32:43 (+0000),42.375,49.925
2018/06/20-20:32:44 (+0000),42.375,49.388
2018/06/20-20:32:44 (+0000),42.375,49.388
2018/06/20-20:32:45 (+0000),42.437,49.925
2018/06/20-20:32:46 (+0000),42.437,49.925
2018/06/20-20:32:47 (+0000),42.437,49.388
2018/06/20-20:32:48 (+0000),42.437,49.388
2018/06/20-20:32:49 (+0000),42.437,49.388
2018/06/20-20:32:50 (+0000),42.437,49.925
2018/06/20-20:32:51 (+0000),42.437,49.388
2018/06/20-20:32:51 (+0000),42.437,49.925
2018/06/20-20:32:52 (+0000),42.437,49.388
2018/06/20-20:32:53 (+0000),42.437,49.925
2018/06/20-20:32:54 (+0000),42.437,49.388
2018/06/20-20:32:55 (+0000),42.437,49.388
2018/06/20-20:32:56 (+0000),42.437,49.925
2018/06/20-20:32:57 (+0000),42.437,49.925
2018/06/20-20:32:58 (+0000),42.437,49.388
2018/06/20-20:32:59 (+0000),42.437,49.388
2018/06/20-20:32:59 (+0000),42.437,49.925
2018/06/20-20:33:00 (+0000),42.437,49.388
2018/06/20-20:33:01 (+0000),42.437,49.925
2018/06/20-20:33:02 (+0000),42.437,49.925
2018/06/20-20:33:03 (+0000),42.437,49.388
2018/06/20-20:33:04 (+0000),42.437,49.388
2018/06/20-20:33:05 (+0000),42.437,49.388
2018/06/20-20:33:06 (+0000),42.437,49.388
2018/06/20-20:33:07 (+0000),42.437,49.388
2018/06/20-20:33:07 (+0000),42.437,49.388
2018/06/20-20:33:08 (+0000),42.437,49.925
2018/06/20-20:33:09 (+0000),42.437,49.388
2018/06/20-20:33:10 (+0000),42.437,49.388
2018/06/20-20:33:11 (+0000),42.437,49.388
2018/06/20-20:33:12 (+0000),42.437,49.388
2018/06/20-20:33:13 (+0000),42.375,49.388
2018/06/20-20:33:14 (+0000),42.375,49.388
2018/06/20-20:33:14 (+0000),42.375,49.388
2018/06/20-20:33:15 (+0000),42.375,49.388
2018/06/20-20:33:16 (+0000),42.375,49.388
2018/06/20-20:33:17 (+0000),42.375,49.388
2018/06/20-20:33:18 (+0000),42.312,49.925
2018/06/20-20:33:19 (+0000),42.375,49.925
2018/06/20-20:33:20 (+0000),42.375,49.388
2018/06/20-20:33:21 (+0000),42.312,49.388
2018/06/20-20:33:21 (+0000),42.312,49.388
2018/06/20-20:33:22 (+0000),42.312,49.388
2018/06/20-20:33:23 (+0000),42.312,49.388
2018/06/20-20:33:24 (+0000),42.312,49.388
2018/06/20-20:33:25 (+0000),42.312,49.388
2018/06/20-20:33:26 (+0000),42.25,49.925
2018/06/20-20:33:27 (+0000),42.25,49.388
2018/06/20-20:33:28 (+0000),42.25,50.464
2018/06/20-20:33:29 (+0000),42.312,49.388
2018/06/20-20:33:29 (+0000),42.25,49.388
2018/06/20-20:33:30 (+0000),42.312,49.925
2018/06/20-20:33:31 (+0000),42.25,49.925
2018/06/20-20:33:32 (+0000),42.25,49.388
2018/06/20-20:33:33 (+0000),42.25,49.388
2018/06/20-20:33:34 (+0000),42.25,49.388
2018/06/20-20:33:35 (+0000),42.25,49.388
2018/06/20-20:33:36 (+0000),42.25,49.925
2018/06/20-20:33:36 (+0000),42.25,49.388
2018/06/20-20:33:37 (+0000),42.25,49.388
2018/06/20-20:33:38 (+0000),42.25,49.388
2018/06/20-20:33:39 (+0000),42.25,49.925
2018/06/20-20:33:40 (+0000),42.25,48.85
2018/06/20-20:33:41 (+0000),42.25,50.464
2018/06/20-20:33:42 (+0000),42.25,49.925
2018/06/20-20:33:43 (+0000),42.25,49.388
2018/06/20-20:33:43 (+0000),42.187,49.388
2018/06/20-20:33:44 (+0000),42.187,49.388
2018/06/20-20:33:45 (+0000),42.187,49.388
2018/06/20-20:33:46 (+0000),42.187,49.388
2018/06/20-20:33:47 (+0000),42.187,49.925
2018/06/20-20:33:48 (+0000),42.187,49.388
2018/06/20-20:33:49 (+0000),42.187,49.388
