Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:23:31 (+0000),37.312,48.312
2018/06/20-20:23:32 (+0000),37.375,47.774
2018/06/20-20:23:33 (+0000),37.375,47.774
2018/06/20-20:23:34 (+0000),37.375,47.774
2018/06/20-20:23:35 (+0000),37.312,47.236
2018/06/20-20:23:36 (+0000),37.375,47.774
2018/06/20-20:23:37 (+0000),37.375,47.236
2018/06/20-20:23:38 (+0000),37.375,47.774
2018/06/20-20:23:39 (+0000),37.375,47.774
2018/06/20-20:23:39 (+0000),37.375,47.774
2018/06/20-20:23:40 (+0000),37.375,47.236
2018/06/20-20:23:42 (+0000),37.375,47.774
2018/06/20-20:23:43 (+0000),37.375,47.236
2018/06/20-20:23:44 (+0000),37.375,48.312
2018/06/20-20:23:45 (+0000),37.375,47.774
2018/06/20-20:23:46 (+0000),37.375,47.774
2018/06/20-20:23:47 (+0000),37.375,47.774
2018/06/20-20:23:47 (+0000),37.437,47.774
2018/06/20-20:23:48 (+0000),37.562,47.774
2018/06/20-20:23:49 (+0000),37.812,47.774
2018/06/20-20:23:50 (+0000),38,47.236
2018/06/20-20:23:51 (+0000),38.25,47.774
2018/06/20-20:23:52 (+0000),38.437,47.774
2018/06/20-20:23:53 (+0000),38.625,47.774
2018/06/20-20:23:54 (+0000),38.812,47.236
2018/06/20-20:23:54 (+0000),39,47.236
2018/06/20-20:23:55 (+0000),39.187,47.774
2018/06/20-20:23:56 (+0000),39.312,47.774
2018/06/20-20:23:57 (+0000),39.5,47.236
2018/06/20-20:23:58 (+0000),39.625,47.236
2018/06/20-20:23:59 (+0000),39.75,47.774
2018/06/20-20:24:00 (+0000),39.937,47.774
2018/06/20-20:24:01 (+0000),40.062,47.774
2018/06/20-20:24:01 (+0000),40.187,48.312
2018/06/20-20:24:02 (+0000),40.312,47.236
2018/06/20-20:24:03 (+0000),40.437,47.774
2018/06/20-20:24:04 (+0000),40.562,47.774
2018/06/20-20:24:05 (+0000),40.625,47.774
2018/06/20-20:24:06 (+0000),40.75,47.774
2018/06/20-20:24:07 (+0000),40.875,47.236
2018/06/20-20:24:08 (+0000),40.937,47.774
2018/06/20-20:24:09 (+0000),41.062,47.236
2018/06/20-20:24:09 (+0000),41.125,48.312
2018/06/20-20:24:10 (+0000),41.25,47.236
2018/06/20-20:24:11 (+0000),41.312,47.236
2018/06/20-20:24:12 (+0000),41.375,48.312
2018/06/20-20:24:13 (+0000),41.5,47.774
2018/06/20-20:24:14 (+0000),41.562,47.774
2018/06/20-20:24:15 (+0000),41.625,47.774
2018/06/20-20:24:16 (+0000),41.687,47.236
2018/06/20-20:24:16 (+0000),41.75,47.774
2018/06/20-20:24:17 (+0000),41.812,47.774
2018/06/20-20:24:18 (+0000),41.875,47.774
2018/06/20-20:24:19 (+0000),41.937,48.312
2018/06/20-20:24:20 (+0000),42,47.236
2018/06/20-20:24:21 (+0000),42.062,47.774
2018/06/20-20:24:22 (+0000),42.125,47.774
2018/06/20-20:24:23 (+0000),42.187,47.774
2018/06/20-20:24:23 (+0000),42.25,48.312
2018/06/20-20:24:24 (+0000),42.312,47.236
2018/06/20-20:24:25 (+0000),42.375,48.312
2018/06/20-20:24:26 (+0000),42.437,47.774
2018/06/20-20:24:27 (+0000),42.5,47.774
2018/06/20-20:24:28 (+0000),42.5,47.774
2018/06/20-20:24:29 (+0000),42.562,47.774
2018/06/20-20:24:30 (+0000),42.625,47.236
2018/06/20-20:24:31 (+0000),42.687,48.312
2018/06/20-20:24:31 (+0000),42.687,47.774
2018/06/20-20:24:32 (+0000),42.75,47.236
2018/06/20-20:24:33 (+0000),42.812,47.774
2018/06/20-20:24:34 (+0000),42.812,48.312
2018/06/20-20:24:35 (+0000),42.875,47.774
2018/06/20-20:24:36 (+0000),42.937,48.312
2018/06/20-20:24:37 (+0000),43,48.312
2018/06/20-20:24:38 (+0000),43,47.236
2018/06/20-20:24:38 (+0000),43.062,47.774
2018/06/20-20:24:39 (+0000),43.125,47.774
2018/06/20-20:24:40 (+0000),43.125,47.774
2018/06/20-20:24:41 (+0000),43.187,47.774
2018/06/20-20:24:42 (+0000),43.187,47.774
2018/06/20-20:24:43 (+0000),43.25,47.774
2018/06/20-20:24:44 (+0000),43.312,47.774
2018/06/20-20:24:45 (+0000),43.312,48.312
2018/06/20-20:24:45 (+0000),43.375,47.774
2018/06/20-20:24:46 (+0000),43.375,47.774
2018/06/20-20:24:47 (+0000),43.437,48.312
2018/06/20-20:24:48 (+0000),43.437,47.774
2018/06/20-20:24:49 (+0000),43.5,47.774
2018/06/20-20:24:50 (+0000),43.562,47.774
2018/06/20-20:24:51 (+0000),43.562,47.774
2018/06/20-20:24:52 (+0000),43.625,47.774
2018/06/20-20:24:53 (+0000),43.625,47.774
2018/06/20-20:24:53 (+0000),43.625,47.236
2018/06/20-20:24:54 (+0000),43.687,47.774
2018/06/20-20:24:55 (+0000),43.75,48.312
2018/06/20-20:24:56 (+0000),43.75,47.236
2018/06/20-20:24:57 (+0000),43.75,48.312
2018/06/20-20:24:58 (+0000),43.812,48.312
2018/06/20-20:24:59 (+0000),43.812,48.312
2018/06/20-20:25:00 (+0000),43.875,47.774
2018/06/20-20:25:00 (+0000),43.875,47.774
2018/06/20-20:25:01 (+0000),43.937,47.774
2018/06/20-20:25:02 (+0000),43.937,48.312
2018/06/20-20:25:03 (+0000),44,47.774
2018/06/20-20:25:04 (+0000),44,47.774
2018/06/20-20:25:05 (+0000),44.062,47.774
2018/06/20-20:25:06 (+0000),44.062,47.774
2018/06/20-20:25:07 (+0000),44.062,48.312
2018/06/20-20:25:08 (+0000),44.125,48.312
2018/06/20-20:25:08 (+0000),44.125,48.312
2018/06/20-20:25:09 (+0000),44.187,48.312
2018/06/20-20:25:10 (+0000),44.187,47.774
2018/06/20-20:25:11 (+0000),44.187,47.774
2018/06/20-20:25:12 (+0000),44.25,48.312
2018/06/20-20:25:13 (+0000),44.25,48.312
2018/06/20-20:25:14 (+0000),44.312,48.312
2018/06/20-20:25:15 (+0000),44.312,48.312
2018/06/20-20:25:15 (+0000),44.375,48.312
2018/06/20-20:25:16 (+0000),44.375,48.312
