Time,BBB CPU [degC],RPi CPU [degC]
2018/06/20-20:10:24 (+0000),35.5,47.236
2018/06/20-20:10:24 (+0000),35.5,46.16
2018/06/20-20:10:25 (+0000),35.562,46.16
2018/06/20-20:10:26 (+0000),35.562,45.622
2018/06/20-20:10:27 (+0000),35.562,45.622
2018/06/20-20:10:28 (+0000),35.562,46.16
2018/06/20-20:10:29 (+0000),35.562,46.16
2018/06/20-20:10:30 (+0000),35.562,46.16
2018/06/20-20:10:31 (+0000),35.562,45.622
2018/06/20-20:10:31 (+0000),35.562,46.16
2018/06/20-20:10:32 (+0000),35.562,45.622
2018/06/20-20:10:33 (+0000),35.562,45.622
2018/06/20-20:10:34 (+0000),35.562,46.16
2018/06/20-20:10:35 (+0000),35.562,45.622
2018/06/20-20:10:36 (+0000),35.562,46.16
2018/06/20-20:10:37 (+0000),35.562,46.16
2018/06/20-20:10:38 (+0000),35.562,46.16
2018/06/20-20:10:39 (+0000),35.562,46.16
2018/06/20-20:10:39 (+0000),35.562,46.16
2018/06/20-20:10:40 (+0000),35.562,45.084
2018/06/20-20:10:41 (+0000),35.562,45.622
2018/06/20-20:10:42 (+0000),35.625,46.16
2018/06/20-20:10:43 (+0000),35.625,45.622
2018/06/20-20:10:44 (+0000),35.625,46.16
2018/06/20-20:10:45 (+0000),35.625,46.16
2018/06/20-20:10:46 (+0000),35.625,45.622
2018/06/20-20:10:46 (+0000),35.625,45.622
2018/06/20-20:10:47 (+0000),35.625,46.16
2018/06/20-20:10:48 (+0000),35.625,45.622
2018/06/20-20:10:49 (+0000),35.625,46.16
2018/06/20-20:10:50 (+0000),35.687,45.084
2018/06/20-20:10:51 (+0000),35.687,46.16
2018/06/20-20:10:52 (+0000),35.687,46.16
2018/06/20-20:10:53 (+0000),35.687,45.084
2018/06/20-20:10:54 (+0000),35.687,45.622
2018/06/20-20:10:54 (+0000),35.687,45.084
2018/06/20-20:10:55 (+0000),35.687,46.16
2018/06/20-20:10:56 (+0000),35.812,46.16
2018/06/20-20:10:57 (+0000),35.937,45.622
2018/06/20-20:10:58 (+0000),36.062,46.16
2018/06/20-20:10:59 (+0000),36.125,46.16
2018/06/20-20:11:00 (+0000),36.25,45.622
2018/06/20-20:11:01 (+0000),36.375,45.622
2018/06/20-20:11:01 (+0000),36.437,46.16
2018/06/20-20:11:02 (+0000),36.562,46.16
2018/06/20-20:11:03 (+0000),36.625,45.084
2018/06/20-20:11:04 (+0000),36.687,45.622
2018/06/20-20:11:05 (+0000),36.812,45.622
2018/06/20-20:11:06 (+0000),36.875,45.622
2018/06/20-20:11:07 (+0000),36.937,45.622
2018/06/20-20:11:08 (+0000),37,45.622
